BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN
1,1,97.6,44.2,0,0,2,1,-12.3043699,345,1,1.06,0.94
2,1,0,0,0,0,2,1,-8.10439551,345,1,1.06,0.94
3,1,322,2.4,0,0,2,1,-10.9891201,345,1,1.06,0.94
4,1,500,184,0,0,1,1,-11.6495442,345,1,1.06,0.94
5,1,0,0,0,0,1,1,-10.3464216,345,1,1.06,0.94
6,1,0,0,0,0,1,1,-9.57959794,345,1,1.06,0.94
7,1,233.8,84,0,0,1,1,-11.9436221,345,1,1.06,0.94
8,1,522,176.6,0,0,1,1,-12.5094295,345,1,1.06,0.94
9,1,6.5,-66.6,0,0,1,1,-13.1281035,345,1,1.06,0.94
10,1,0,0,0,0,1,1,-7.15074661,345,1,1.06,0.94
11,1,0,0,0,0,1,1,-7.99063881,345,1,1.06,0.94
12,1,8.53,88,0,0,1,1,-8.05839236,345,1,1.06,0.94
13,1,0,0,0,0,1,1,-7.91227145,345,1,1.06,0.94
14,1,0,0,0,0,1,1,-9.66724476,345,1,1.06,0.94
15,1,320,153,0,0,3,1,-10.1032653,345,1,1.06,0.94
16,1,329,32.3,0,0,3,1,-8.56868354,345,1,1.06,0.94
17,1,0,0,0,0,2,1,-9.72097327,345,1,1.06,0.94
18,1,158,30,0,0,2,1,-10.6638437,345,1,1.06,0.94
19,1,0,0,0,0,3,1,-3.42925212,345,1,1.06,0.94
20,1,680,103,0,0,3,1,-4.8708231,345,1,1.06,0.94
21,1,274,115,0,0,3,1,-5.97921632,345,1,1.06,0.94
22,1,0,0,0,0,3,1,-1.09597681,345,1,1.06,0.94
23,1,247.5,84.6,0,0,3,1,-1.32272635,345,1,1.06,0.94
24,1,308.6,-92.2,0,0,3,1,-8.41614329,345,1,1.06,0.94
25,1,224,47.2,0,0,2,1,-6.81447228,345,1,1.06,0.94
26,1,139,17,0,0,2,1,-7.81782625,345,1,1.06,0.94
27,1,281,75.5,0,0,2,1,-9.97159067,345,1,1.06,0.94
28,1,206,27.6,0,0,3,1,-3.86996915,345,1,1.06,0.94
29,1,283.5,26.9,0,0,3,1,-0.830075954,345,1,1.06,0.94
30,2,0,0,0,0,2,1,-5.44694564,345,1,1.06,0.94
31,3,9.2,4.6,0,0,1,1,0,345,1,1.06,0.94
32,2,0,0,0,0,1,1,0.819096317,345,1,1.06,0.94
33,2,0,0,0,0,3,1,2.07263699,345,1,1.06,0.94
34,2,0,0,0,0,3,1,0.415455114,345,1,1.06,0.94
35,2,0,0,0,0,3,1,4.36280697,345,1,1.06,0.94
36,2,0,0,0,0,3,1,7.40456678,345,1,1.06,0.94
37,2,0,0,0,0,2,1,0.542993354,345,1,1.06,0.94
38,2,0,0,0,0,3,1,6.77404802,345,1,1.06,0.94
39,2,1104,250,0,0,1,1,-13.4610818,345,1,1.06,0.94
